wilaya_id,wilaya,total_seats_2021,seats_major_party,seats_independent,seats_minor_party
1,Sétif,3,3,0,0
2,Timimoun,11,9,2,0
3,Alger,6,5,1,0
4,Biskra,7,7,0,0
5,In Guezzam,12,8,4,0
6,El Bayadh,9,5,4,0
7,Constantine,6,5,0,1
8,Jijel,3,2,1,0
9,El Oued,12,7,5,0
10,In Salah,7,7,0,0
11,M’Sila,3,3,0,0
12,Tissemsilt,7,6,0,1
13,Batna,10,8,2,0
14,Bouira,9,6,3,0
15,Tiaret,11,5,5,1
16,Saïda,34,34,0,0
17,Tlemcen,13,13,0,0
18,Ouargla,6,3,3,0
19,Tizi Ouzou,15,15,0,0
20,Khenchela,4,2,2,0
21,Tamenghasset,10,10,0,0
22,Bordj Bou Arréridj,6,3,3,0
23,Tindouf,7,7,0,0
24,El Tarf,5,3,1,1
25,Sidi Bel Abbès,11,5,5,1
26,Skikda,8,8,0,0
27,Tébessa,8,8,0,0
28,"Oum
El Bouaghi",11,11,0,0
29,Mostaganem,8,8,0,0
30,Mila,3,3,0,0
31,Adrar,17,14,3,0
32,Djelfa,3,3,0,0
33,Laghouat,3,2,1,0
34,Bordj Badji Mokhtar,7,4,3,0
35,Ouled Djellal,9,4,5,0
36,El Meniaâ,4,2,2,0
37,Djanet,3,2,1,0
38,Illizi,3,2,1,0
39,Touggourt,6,3,2,1
40,Béni Abbès,4,1,2,1
41,Oran,5,4,1,0
42,Naâma,6,2,4,0
43,Aïn Temouchent,8,8,0,0
44,Aïn Defla,8,4,4,0
45,Médéa,3,3,0,0
46,Béchar,4,2,0,2
47,Annaba,3,1,2,0
48,El M’Ghaier,8,4,4,0
49,Boumerdès,3,2,1,0
50,Ain Defla,3,2,1,0
51,Chlef,3,2,1,0
52,Ghardaïa,3,2,1,0
53,Béjaïa,3,3,0,0
54,Souk Ahras,3,2,1,0
55,Guelma,3,3,0,0
56,Blida,3,0,3,0
57,Tipaza,3,2,1,0
58,Relizane,3,0,3,0
59,Mascara,0,0,0,0
